,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Central Coast Newcastle Line,School Student,"64,031","95,296","70,607","64,200","83,623","35,090","6,408","84,413","98,786","34,067","101,428","83,884","55,243","106,510","66,396","67,843","96,471","33,284","7,086","85,666","88,377","37,788","100,961","81,086","41,524","96,514","81,353","49,324","81,923","34,704","6,037","86,995","93,529","48,483"
Central Coast Newcastle Line,Senior/Pensioner,"205,808","219,372","224,307","224,676","242,001","219,428","205,600","210,605","235,623","219,721","246,641","215,429","228,477","229,055","228,036","226,817","249,938","205,511","170,490","218,930","236,759","232,364","248,510","209,861","232,651","236,962","228,057","209,234","229,843","205,622","184,862","215,931","223,135","220,101"
Central Coast Newcastle Line,Sgl Trip Rail Adult,"2,030","11,626","13,838","13,312","13,823","16,206","14,376","11,801","12,908","13,522","12,285","11,513","14,556","12,860","14,058","14,462","16,789","16,861","12,727","14,580","15,970","15,577","14,510","12,471","12,819","12,815","12,935","12,353","14,657","14,593","11,857","10,608","11,675","12,187"
Central Coast Newcastle Line,Sgl Trip Rail Child/Youth,659,"2,343","3,664","3,304","2,861","4,665","5,494","2,265","2,631","4,394","2,503","2,662","5,349","2,904","4,064","3,887","3,468","5,282","5,499","3,264","3,704","5,406","3,385","3,055","4,925","2,830","3,193","3,608","3,103","4,543","5,285","2,597","2,757","4,372"
Hunter Line,Adult,"35,095","29,693","36,901","35,439","39,132","33,766","34,491","37,943","45,980","41,255","45,818","37,998","35,351","37,126","35,067","34,226","40,588","44,781","31,743","38,622","44,885","40,903","45,719","36,021","41,430","43,995","40,674","40,193","45,221","35,664","35,375","44,055","50,684","46,177"
Hunter Line,Child/Youth,"3,417","2,749","4,407","4,616","4,032","5,265","6,897","4,346","4,629","6,186","4,105","4,000","5,300","3,913","5,628","4,909","4,574","7,311","6,904","5,207","4,874","6,539","5,122","3,506","5,443","4,049","4,910","5,416","4,760","5,346","6,713","5,321","5,165","6,968"
Hunter Line,Concession,"9,780","12,355","9,543","10,852","7,739","4,515","4,492","6,560","18,338","12,609","16,169","7,100","8,043","14,719","9,134","11,006","7,908","5,453","4,448","7,402","17,871","11,890","18,225","8,630","7,012","15,965","11,406","10,938","8,424","3,905","3,986","7,559","17,188","12,918"
Hunter Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,"1,155","1,440","2,185","2,795","3,264"
Hunter Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Hunter Line,Day Pass without SAF,,,,,,,,,,,,,,,7,5,,,,,,10,9,11,12,16,26,24,18,32,21,17,16,23
Hunter Line,Employee,660,553,713,714,804,635,609,663,807,641,785,744,720,788,749,800,813,"1,483",684,720,765,757,894,719,687,656,608,574,626,560,526,667,742,714
Hunter Line,Free Travel,103,95,92,86,111,96,87,86,113,125,141,117,154,139,155,145,169,187,139,104,148,212,229,136,207,196,241,232,227,167,210,219,248,204
Hunter Line,School Student,"7,546","4,972","4,351","3,809","4,699","1,956",360,"3,898","4,882","1,622","4,838","4,087","2,300","4,975","2,852","3,305","4,316","3,124",206,"4,207","5,034","2,220","5,827","4,715","2,307","4,744","4,157","2,946","4,753","2,154",336,"5,587","6,517","3,470"
Hunter Line,Senior/Pensioner,"16,455","14,253","17,892","17,342","19,218","17,001","16,993","17,326","20,172","18,380","19,798","16,888","15,486","15,424","15,587","15,768","17,575","19,728","14,258","15,582","16,515","16,783","17,982","14,531","16,723","17,101","16,025","16,015","16,421","14,350","13,773","17,045","18,485","18,064"
Hunter Line,Sgl Trip Rail Adult,335,570,749,775,829,774,662,631,787,868,611,507,913,974,945,926,"1,334","2,404","1,010","1,116","1,083","1,061",953,780,824,842,902,907,"1,085",839,720,664,779,753
Hunter Line,Sgl Trip Rail Child/Youth,177,231,367,375,220,419,532,281,283,469,259,213,589,392,778,688,571,"1,383","1,094",580,660,847,532,343,654,397,578,562,504,596,834,378,355,447
South Coast Line,Adult,"534,213","602,210","577,663","561,571","614,058","563,097","527,438","559,752","666,487","572,069","664,497","592,241","544,210","614,741","582,405","613,841","593,322","527,118","538,518","562,650","620,439","589,384","635,318","559,426","582,885","610,099","566,203","619,193","604,512","520,334","557,375","567,204","634,049","594,948"
South Coast Line,Child/Youth,"34,743","29,180","36,102","36,040","34,017","46,759","53,345","30,987","35,938","46,416","30,600","33,542","43,830","29,423","39,007","38,229","30,441","43,754","52,531","32,783","32,853","46,727","28,543","30,902","45,010","27,755","29,018","39,578","29,806","37,727","53,010","29,518","31,534","42,145"
South Coast Line,Concession,"65,951","83,095","65,889","63,668","51,374","40,291","35,863","44,899","93,203","66,685","87,337","55,123","48,506","84,303","63,886","65,794","47,854","36,737","35,622","44,884","82,626","65,183","80,513","49,696","49,609","79,719","64,657","59,998","44,620","32,894","33,370","41,293","77,822","63,479"
South Coast Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,"9,838","16,192","17,574","21,921","23,173"
South Coast Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,2,,,,,,,,1,1,,4,4,,,,,,,
South Coast Line,Day Pass without SAF,,,,,,,,,,,,,,,8,2,,,,,,2,5,8,3,3,26,25,23,13,25,30,31,20
South Coast Line,Employee,"6,852","8,351","8,294","7,923","8,917","8,104","7,331","8,260","9,594","7,380","9,633","8,953","7,637","8,660","7,907","8,178","7,948","6,812","6,698","7,160","7,567","7,313","8,313","7,280","7,183","7,470","6,898","7,923","7,850","6,409","7,177","7,330","7,815","7,486"
South Coast Line,Free Travel,696,900,826,755,933,875,891,893,"1,119",913,"1,129",969,863,929,928,861,894,763,817,846,925,918,912,802,914,883,896,"1,020","1,025",789,858,939,972,958
South Coast Line,School Student,"13,036","30,954","22,494","21,041","28,053","11,003","1,757","29,832","36,084","12,371","36,084","29,248","13,965","31,871","20,972","21,306","25,978","8,546","1,862","28,984","31,764","13,255","35,574","28,126","14,369","32,864","27,706","18,813","29,699","12,379","2,213","34,571","38,368","19,764"
South Coast Line,Senior/Pensioner,"92,599","106,924","107,078","107,609","116,670","104,044","97,172","101,542","116,607","105,596","119,768","107,491","97,916","106,639","102,856","108,940","107,753","98,019","98,691","101,675","108,814","108,451","113,224","98,129","101,881","105,241","101,207","111,848","109,383","96,174","100,912","107,634","110,193","108,354"
South Coast Line,Sgl Trip Rail Adult,"1,514","5,992","6,546","6,282","6,751","7,537","6,240","5,708","6,591","6,118","5,571","5,249","6,100","6,060","6,525","6,866","6,471","7,607","7,180","6,585","6,786","6,479","5,978","5,523","5,276","5,389","5,106","6,345","6,043","6,180","5,398","4,479","4,850","4,823"
South Coast Line,Sgl Trip Rail Child/Youth,428,"1,318","1,724","1,621","1,230","2,203","2,310",946,"1,175","1,966","1,035","1,262","2,349","1,477","1,892","1,898","1,357","2,409","2,729","1,286","1,426","2,162","1,360","1,359","1,966","1,126","1,193","1,798","1,164","1,618","2,211",874,958,"1,757"
Southern Highlands Line,Adult,"44,136","47,485","49,022","48,255","49,359","45,781","44,971","46,047","54,075","45,435","52,299","50,460","52,952","53,496","57,659","56,321","57,890","46,420","46,733","47,341","52,905","51,551","54,674","50,920","52,973","53,550","54,491","56,222","53,674","49,886","50,462","50,000","56,602","53,337"
Southern Highlands Line,Child/Youth,"5,820","4,918","6,421","6,759","5,746","7,944","9,083","5,357","6,695","7,888","4,895","6,627","9,261","5,395","7,937","7,301","6,741","8,345","8,796","5,042","5,723","8,499","5,542","6,464","8,861","5,323","5,690","7,870","5,048","7,654","8,745","4,689","6,025","7,998"
Southern Highlands Line,Concession,"8,861","7,958","6,132","6,234","4,661","3,365","2,999","4,307","8,554","5,780","7,745","5,554","5,566","8,160","6,493","6,471","5,505","3,477","2,896","3,841","7,185","6,436","7,545","5,347","4,613","7,599","6,624","6,667","5,018","3,735","3,377","4,132","7,928","6,638"
Southern Highlands Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,944,"1,316","1,428","1,888","2,130"
Southern Highlands Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,2,1,4,,1,1,1,1,2,5,5,7,5,9
Southern Highlands Line,Employee,883,905,949,852,923,869,849,877,"1,010",843,"1,019",919,"1,086","1,107","1,071","1,009","1,122",746,759,671,815,848,864,781,714,795,747,806,787,733,770,731,865,838
Southern Highlands Line,Free Travel,180,182,240,217,220,161,201,199,229,199,256,210,233,235,219,223,177,108,184,178,166,175,222,198,177,188,187,192,151,145,123,161,179,152
Southern Highlands Line,School Student,776,"1,960","1,499","1,331","1,731",643,110,"1,778","2,126",781,"2,288","1,957","1,084","2,695","1,975","2,017","2,370",788,134,"2,146","2,386","1,057","2,766","2,365","1,110","2,623","2,565","1,568","2,370","1,174",174,"2,510","2,723","1,517"
Southern Highlands Line,Senior/Pensioner,"16,183","17,403","20,921","18,993","19,116","17,819","16,653","17,165","20,653","18,045","20,006","18,480","18,772","18,758","22,434","20,961","21,466","17,264","16,084","17,305","19,747","18,972","20,592","18,274","18,298","18,750","20,661","21,493","19,903","18,513","17,372","18,589","20,300","19,601"
Southern Highlands Line,Sgl Trip Rail Adult,89,606,581,612,581,633,634,482,604,568,512,578,788,618,779,779,832,712,681,519,540,529,487,501,452,406,467,539,489,547,413,316,476,417
Southern Highlands Line,Sgl Trip Rail Child/Youth,41,121,236,179,116,268,275,93,117,207,83,147,403,180,274,277,241,327,328,167,150,270,186,166,270,139,151,207,143,245,230,94,93,194
Station Link,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,666","491,684","484,928","364,129","379,817","430,799","515,263","440,554"
Station Link,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,812,"25,995","18,606","23,093","28,994","22,973","25,298","25,816"
Station Link,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,639,"88,969","65,644","32,295","31,646","45,963","108,920","70,629"
Station Link,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,
Station Link,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,23,"1,476","1,413","1,017","1,089","1,240","1,442","1,193"
Station Link,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,11,361,337,262,284,287,284,270
Station Link,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,325","20,575","10,023","1,438","19,418","20,614","10,759"
Station Link,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,484,"31,383","31,941","27,296","26,890","29,614","32,787","29,381"
Station Link,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,6,338,349,332,247,197,197,209
Station Link,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,103,83,132,96,71,67,93
T1 North Shore Line,Adult,,,,,,,,,,,,,,,,,"477,818","2,278,694","2,226,851","2,316,457","2,667,277","2,400,762","2,760,329","2,565,643","2,637,018","2,682,911","2,563,569","3,934,360","3,997,909","3,392,689","3,281,678","3,704,351","4,090,344","3,658,243"
T1 North Shore Line,Child/Youth,,,,,,,,,,,,,,,,,"20,961","169,048","168,122","111,467","142,134","162,037","109,504","133,063","176,360","109,875","133,347","186,080","152,294","214,877","224,353","166,882","183,169","224,187"
T1 North Shore Line,Concession,,,,,,,,,,,,,,,,,"31,049","144,417","130,892","152,871","282,631","217,925","263,241","197,525","180,740","271,024","223,432","303,580","238,370","193,883","179,009","244,464","398,397","322,776"
T1 North Shore Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,959","58,319","83,264","97,746","110,952","109,437"
T1 North Shore Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,3,
T1 North Shore Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,3,1,4,7,4,4,19,5,13,22,18,11,30
T1 North Shore Line,Employee,,,,,,,,,,,,,,,,,"4,238","19,978","18,381","20,010","23,358","18,612","22,023","23,116","24,834","22,208","23,557","34,378","33,611","29,900","27,947","31,486","34,350","32,835"
T1 North Shore Line,Free Travel,,,,,,,,,,,,,,,,,673,"3,111","2,741","3,108","3,415","2,773","3,252","3,539","4,026","3,354","3,636","5,638","5,499","4,909","4,598","5,386","5,709","5,227"
T1 North Shore Line,School Student,,,,,,,,,,,,,,,,,"26,106","47,697","13,928","158,481","165,315","69,487","183,134","157,760","69,762","180,210","159,449","135,313","229,118","83,177","20,487","243,235","264,558","136,817"
T1 North Shore Line,Senior/Pensioner,,,,,,,,,,,,,,,,,"47,420","249,760","219,038","228,995","271,570","245,502","269,378","261,874","268,569","263,536","258,882","361,956","371,166","358,209","312,490","356,576","392,685","372,305"
T1 North Shore Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"4,351","30,099","22,736","21,979","25,943","22,303","22,557","23,909","22,249","19,828","21,485","31,213","32,060","34,197","24,778","23,853","27,638","26,414"
T1 North Shore Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,820,"9,011","8,209","4,236","5,575","7,123","4,475","6,233","8,191","4,255","5,298","7,452","5,447","9,565","8,672","4,828","5,885","9,345"
T1 Northern Line,Adult,,,,,,,,,,,,,,,,,"609,958","3,051,989","2,954,902","3,059,946","3,474,979","3,319,886","3,744,206","3,335,709","3,442,504","3,606,618","3,369,189","1,848,498","1,865,519","1,600,308","1,542,273","1,666,367","1,881,659","1,551,349"
T1 Northern Line,Child/Youth,,,,,,,,,,,,,,,,,"21,996","190,187","195,119","139,592","160,708","191,853","128,952","142,157","194,350","126,299","142,217","86,904","77,085","91,523","97,415","84,660","81,181","84,767"
T1 Northern Line,Concession,,,,,,,,,,,,,,,,,"39,951","189,860","169,894","207,736","385,765","306,628","376,527","263,344","233,320","382,292","299,442","183,932","146,224","105,175","98,795","139,868","233,770","171,160"
T1 Northern Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,641","24,290","33,780","35,839","39,279","36,176"
T1 Northern Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,
T1 Northern Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,1,5,5,8,7,4,5,11,7,3,2,9,19
T1 Northern Line,Employee,,,,,,,,,,,,,,,,,"4,866","23,683","22,302","24,391","26,415","24,921","31,399","28,106","28,604","29,335","27,252","19,865","20,268","15,976","16,552","19,176","20,337","16,949"
T1 Northern Line,Free Travel,,,,,,,,,,,,,,,,,521,"2,527","2,184","2,546","2,711","2,662","3,096","2,847","2,903","2,931","2,883","1,543","1,575","1,269","1,263","1,515","1,612","1,234"
T1 Northern Line,School Student,,,,,,,,,,,,,,,,,"26,518","54,679","12,491","157,373","163,764","73,363","188,246","159,725","74,555","182,446","158,638","56,224","93,549","42,286","7,225","99,608","105,688","49,565"
T1 Northern Line,Senior/Pensioner,,,,,,,,,,,,,,,,,"53,008","290,449","264,118","273,945","305,006","293,092","320,108","294,726","306,166","312,264","298,932","180,680","186,598","175,624","160,756","180,278","187,466","159,734"
T1 Northern Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"4,876","35,443","26,985","26,901","30,319","28,779","27,579","26,446","24,129","24,038","24,072","9,175","9,201","9,031","6,907","6,537","7,105","6,581"
T1 Northern Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,822,"9,142","8,346","4,698","5,646","8,401","5,604","6,299","7,767","4,973","5,357","2,387","1,914","2,664","2,427","1,554","1,594","2,246"
T1 Western Line,Adult,,,,,,,,,,,,,,,,,"544,969","2,732,771","2,796,911","2,918,543","3,418,443","2,910,641","3,524,368","3,228,729","3,247,765","3,537,823","3,302,273","3,454,454","3,523,629","2,994,733","3,108,795","3,001,659","3,510,464","3,320,883"
T1 Western Line,Child/Youth,,,,,,,,,,,,,,,,,"19,068","161,865","178,304","122,447","147,374","149,366","117,875","132,253","158,283","117,875","122,927","147,551","130,574","160,745","185,622","112,802","132,956","168,476"
T1 Western Line,Concession,,,,,,,,,,,,,,,,,"39,107","183,195","176,944","211,980","407,378","310,819","394,630","273,053","243,602","403,239","314,803","321,049","254,058","186,247","185,704","228,129","405,292","343,726"
T1 Western Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,201","46,796","59,280","57,027","69,740","72,949"
T1 Western Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,4,,6,4,5,2,2,6,11,6,16,4
T1 Western Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,20,69,60,104,81,84,88,120,102,151,175,283,240
T1 Western Line,Employee,,,,,,,,,,,,,,,,,"8,045","37,668","36,901","40,131","45,577","39,126","49,870","46,032","44,584","48,277","46,623","49,821","51,168","45,853","46,479","46,180","54,207","52,999"
T1 Western Line,Free Travel,,,,,,,,,,,,,,,,,690,"3,250","3,184","3,560","3,784","3,295","4,176","3,731","3,926","4,359","4,094","4,697","4,684","4,102","4,135","4,460","4,821","4,500"
T1 Western Line,School Student,,,,,,,,,,,,,,,,,"26,016","56,694","10,564","153,130","175,742","69,937","193,635","162,308","83,566","179,536","159,997","97,075","159,415","77,579","11,654","162,707","187,756","102,852"
T1 Western Line,Senior/Pensioner,,,,,,,,,,,,,,,,,"59,965","324,275","321,171","326,875","374,262","321,355","376,365","349,376","346,052","374,813","357,960","370,064","378,235","353,910","342,645","330,541","382,493","378,347"
T1 Western Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"3,962","27,328","23,048","22,001","28,041","22,032","23,222","22,380","18,924","20,759","21,059","22,517","24,082","23,403","19,667","16,139","19,613","20,139"
T1 Western Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,"1,010","9,415","9,001","5,600","7,447","8,650","6,344","6,718","7,181","5,847","5,939","7,448","6,295","8,005","8,036","4,028","5,513","8,519"
T2 Inner West Line,Adult,,,,,,,,,,,,,,,,,"289,965","1,386,437","1,426,749","1,496,797","1,657,311","1,522,022","1,792,329","1,593,430","1,647,308","1,744,309","1,627,875","1,717,333","1,786,040","1,472,287","1,468,544","1,660,674","1,642,593","1,495,259"
T2 Inner West Line,Child/Youth,,,,,,,,,,,,,,,,,"8,686","66,135","75,860","55,368","57,857","68,279","53,703","56,659","71,913","54,233","54,569","62,745","58,318","67,467","75,183","58,812","56,035","63,904"
T2 Inner West Line,Concession,,,,,,,,,,,,,,,,,"18,367","80,009","77,892","97,303","152,009","120,153","150,024","111,283","102,991","153,341","122,705","121,634","110,514","80,939","77,234","108,167","148,080","117,951"
T2 Inner West Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,086","27,664","36,308","41,722","45,965","48,197"
T2 Inner West Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,
T2 Inner West Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,7,4,3,5,2,3,3,6,10,7,27,28,18
T2 Inner West Line,Employee,,,,,,,,,,,,,,,,,"3,396","14,175","14,060","16,248","17,565","15,727","20,880","18,162","18,896","18,892","17,164","19,103","21,205","16,177","16,825","20,026","20,236","17,695"
T2 Inner West Line,Free Travel,,,,,,,,,,,,,,,,,218,984,946,"1,076","1,181","1,058","1,299","1,147","1,200","1,304","1,173","1,367","1,576","1,260","1,199","1,437","1,383","1,241"
T2 Inner West Line,School Student,,,,,,,,,,,,,,,,,"8,719","15,612","3,314","49,623","51,902","23,044","60,450","49,635","25,831","59,041","50,818","32,311","55,080","23,184","4,316","60,224","60,027","32,194"
T2 Inner West Line,Senior/Pensioner,,,,,,,,,,,,,,,,,"26,314","128,895","131,238","140,184","150,911","137,282","159,549","142,435","151,584","156,952","145,489","152,288","161,750","141,719","138,986","160,197","152,185","141,881"
T2 Inner West Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"2,550","18,244","15,886","14,652","16,894","14,137","14,874","15,051","12,892","12,842","13,046","13,698","15,532","14,418","11,470","11,175","11,219","10,021"
T2 Inner West Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,398,"4,133","4,100","2,297","2,846","3,538","2,760","3,317","3,552","2,559","2,368","2,727","2,378","3,188","3,186","1,911","1,843","2,814"
T2 Leppington Line,Adult,,,,,,,,,,,,,,,,,"364,275","1,939,511","1,814,059","1,833,792","2,155,842","1,958,926","2,266,324","2,082,714","2,137,077","2,244,451","2,116,548","2,209,420","2,198,220","1,808,124","1,896,752","1,964,415","2,176,979","1,941,413"
T2 Leppington Line,Child/Youth,,,,,,,,,,,,,,,,,"13,753","118,285","118,379","83,061","98,628","111,517","82,248","95,339","118,221","86,209","91,524","102,067","88,060","100,717","119,785","89,392","93,446","104,785"
T2 Leppington Line,Concession,,,,,,,,,,,,,,,,,"30,087","145,978","126,893","151,445","280,322","222,248","277,470","198,434","179,131","277,961","220,438","214,994","173,076","119,165","119,550","163,625","261,308","209,543"
T2 Leppington Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,273","30,995","41,403","44,626","52,005","50,787"
T2 Leppington Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,4,
T2 Leppington Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,7,8,21,18,13,27,32,24,12,30,38,59,24
T2 Leppington Line,Employee,,,,,,,,,,,,,,,,,"4,711","22,997","19,827","22,044","25,793","22,757","29,692","27,374","25,971","26,338","26,088","29,231","28,658","21,736","23,305","26,756","29,098","25,249"
T2 Leppington Line,Free Travel,,,,,,,,,,,,,,,,,493,"2,526","1,879","2,007","2,710","2,408","2,736","2,565","2,471","2,445","2,560","2,687","2,592","2,004","2,136","2,352","2,447","2,105"
T2 Leppington Line,School Student,,,,,,,,,,,,,,,,,"14,275","31,486","5,014","76,971","87,104","36,652","98,496","83,783","43,355","94,772","84,737","53,729","88,195","39,784","6,080","87,277","99,332","50,730"
T2 Leppington Line,Senior/Pensioner,,,,,,,,,,,,,,,,,"48,301","276,388","255,467","252,784","294,479","264,020","297,463","277,225","283,349","288,467","282,607","288,760","290,227","256,360","262,213","275,853","292,635","269,979"
T2 Leppington Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"3,097","25,269","18,634","17,387","21,543","18,406","18,551","19,664","16,000","16,133","16,404","17,321","17,333","16,804","14,656","13,286","14,307","13,460"
T2 Leppington Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,709,"7,055","6,073","3,797","4,950","5,967","4,443","5,410","5,478","3,968","4,137","4,377","3,530","4,532","4,694","2,914","3,294","4,585"
T8 Airport and South Line,Adult,,,,,,,,,,,,,,,,,"539,451","2,747,287","2,653,379","2,666,649","3,147,409","2,712,914","3,198,667","2,965,021","2,981,146","3,155,420","2,918,954","3,138,780","3,205,506","2,758,636","2,782,379","2,828,725","3,155,673","2,822,296"
T8 Airport and South Line,Child/Youth,,,,,,,,,,,,,,,,,"16,691","146,961","157,433","89,209","107,784","130,665","89,961","116,230","147,963","101,657","93,030","119,637","99,584","136,995","161,670","95,016","103,631","135,050"
T8 Airport and South Line,Concession,,,,,,,,,,,,,,,,,"30,702","147,310","135,640","155,785","278,298","215,044","264,248","194,744","181,514","269,499","211,209","215,759","180,203","140,314","137,166","170,711","267,677","220,173"
T8 Airport and South Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,606","59,186","86,528","94,274","114,141","112,184"
T8 Airport and South Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,3,3,2,,2,,,5,1,,2,1,3,5
T8 Airport and South Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,8,16,23,12,25,34,22,36,48,34,41,37,48,64
T8 Airport and South Line,Employee,,,,,,,,,,,,,,,,,"6,906","34,266","32,601","33,710","37,488","33,926","41,087","37,618","37,089","38,512","35,176","39,788","42,010","35,387","36,982","39,811","45,208","41,011"
T8 Airport and South Line,Free Travel,,,,,,,,,,,,,,,,,649,"3,068","2,992","3,135","3,481","3,304","3,701","3,228","3,327","3,894","3,531","4,149","4,113","3,309","3,507","3,775","4,068","3,732"
T8 Airport and South Line,School Student,,,,,,,,,,,,,,,,,"15,272","32,471","5,667","85,743","92,396","38,204","101,020","85,302","44,830","96,955","83,588","54,886","90,895","44,266","6,318","95,017","103,411","54,541"
T8 Airport and South Line,Senior/Pensioner,,,,,,,,,,,,,,,,,"45,746","245,648","232,330","227,433","270,519","239,740","273,977","257,857","256,350","264,719","248,517","272,272","276,162","249,493","244,054","250,360","276,404","258,188"
T8 Airport and South Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"23,436","144,438","116,088","119,174","137,572","106,326","114,880","110,934","98,773","110,146","109,668","124,188","132,716","117,999","98,039","99,747","115,129","97,332"
T8 Airport and South Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,"2,023","20,666","19,278","10,595","12,647","15,238","10,343","13,090","15,900","11,459","10,414","13,334","10,520","16,356","17,104","8,764","9,549","14,382"
T9 Northern Line,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,774"
T9 Northern Line,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,387"
T9 Northern Line,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,795"
T9 Northern Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,103"
T9 Northern Line,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,956"
T9 Northern Line,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
T9 Northern Line,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,321"
T9 Northern Line,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,867"
T9 Northern Line,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588
T9 Northern Line,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
Grand Total,Total,"28,819,249","32,393,980","30,648,352","30,106,833","31,318,279","28,189,584","26,735,422","28,767,036","34,566,385","28,745,729","34,863,010","31,706,870","31,070,534","34,285,607","32,067,318","32,910,234","33,457,124","29,467,889","28,186,866","30,036,091","34,967,488","31,512,166","36,322,565","32,604,345","33,053,594","35,713,800","33,021,482","34,501,650","34,803,322","30,124,456","29,925,564","32,218,764","36,530,266","32,790,140"
